#  Timestep    No_Moles    No_Specs         H10         C10         O10
          0           3           3           1           1           1
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
        900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1600          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1700          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1800          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       1900          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       2000          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       2100          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       2200          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       2300          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       2400          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
       2500          13           4           5           1           3           4
#  Timestep    No_Moles    No_Specs          H2         C10          O2           O
