30
 Atoms. Timestep: 0
1 1 1 1
1 2 1.5 1
1 3 2 1
1 4 2.5 1
1 5 3 1
1 6 3.5 1
1 7 4 1
1 8 4.5 1
1 9 5 1
1 10 5.5 1
2 5 10 10
2 6 10.5 10
2 7 11 10
2 8 11.5 10
2 9 12 10
2 10 12.5 10
2 11 13 10
2 12 13.5 10
2 13 14 10
2 14 14.5 10
3 15 15 15
3 16 15.5 15
3 17 16 15
3 18 16.5 15
3 19 17 15
3 20 17.5 15
3 21 18 15
3 22 18.5 15
3 23 19 15
3 24 19.5 15
30
 Atoms. Timestep: 100
1 0.0368809 1.6134 0.0853217
1 1.03794 1.69731 24.9746
1 3.2832 2.08126 1.26854
1 4.07321 2.26816 1.05356
1 5.63131 2.80929 1.13219
1 6.12716 3.50719 1.37761
1 7.26752 4.42653 1.38372
1 7.78303 4.95711 0.7682
1 9.21914 4.56406 2.59845
1 9.51877 5.19026 3.21906
2 4.42568 9.31582 10.0685
2 5.34511 10.1093 9.81837
2 6.85591 10.6994 10.0771
2 7.82216 11.3964 10.0967
2 8.9077 12.6993 9.72225
2 9.9197 12.213 9.68398
2 11.4794 13.0276 9.66163
2 12.2494 13.6791 10.3841
2 13.4993 14.3583 10.3601
2 14.643 15.1472 9.983
3 14.3003 14.7259 14.7498
3 14.6131 15.7587 15.4274
3 17.4789 14.7867 15.4818
3 17.6529 16.9356 14.2451
3 18.675 17.4364 14.881
3 20.7635 16.0357 15.2117
3 20.8189 19.1434 14.8599
3 22.2941 18.0578 15.9659
3 23.8981 19.4063 14.0576
3 24.4589 20.0657 15.0478
30
 Atoms. Timestep: 200
1 23.6316 1.81678 24.2872
1 24.5045 1.62596 23.9623
1 2.71035 1.71821 1.72814
1 3.28693 1.64251 1.08252
1 6.68051 2.54871 1.1583
1 6.00471 3.07569 1.6361
1 8.48791 6.14572 0.424699
1 8.11832 5.67657 1.10716
1 10.3028 4.45749 4.73324
1 9.44995 4.88828 4.98341
2 4.41909 9.14234 9.98011
2 5.43419 9.73093 10.16
2 6.41713 10.7931 9.91329
2 7.49297 11.6314 9.64328
2 8.94219 11.7392 9.73414
2 9.82046 12.9612 9.77708
2 11.5589 13.0081 9.93019
2 12.5161 13.5439 9.85386
2 13.7704 14.8343 10.5273
2 14.894 15.3762 10.2323
3 13.8701 14.9933 14.8898
3 12.9401 15.5401 15.4555
3 18.1441 13.4896 15.9731
3 17.6958 17.5452 13.6128
3 17.8047 17.8301 14.6727
3 21.4445 14.3111 15.3961
3 20.8491 20.4328 14.7255
3 22.3441 17.5974 17.047
3 0.218789 20.292 13.5156
3 24.6041 20.2035 14.5771
30
 Atoms. Timestep: 300
1 22.6173 1.93781 23.6355
1 23.2719 1.60446 23.2311
1 2.36089 1.4229 1.98127
1 2.55162 1.16171 1.20955
1 7.11338 2.71308 1.48488
1 6.27683 2.34151 1.52772
1 8.64282 6.64908 0.652451
1 9.19122 7.09311 0.372417
1 10.6922 4.66352 6.55886
1 9.85474 4.3716 6.1439
2 4.6337 8.93099 10.2062
2 5.33644 10.1986 9.8299
2 6.6977 10.8225 9.74343
2 7.8765 11.1789 9.7664
2 9.11003 12.0097 9.60494
2 10.181 12.7404 9.94349
2 11.0141 13.5424 10.0108
2 12.3577 13.9239 10.0793
2 13.6488 14.2796 10.0009
2 14.5009 15.2233 10.4986
3 13.2217 15.4311 15.2207
3 11.9942 15.1384 15.2456
3 18.643 12.5033 16.3466
3 17.7013 18.054 13.3668
3 17.169 18.082 14.2784
3 21.9642 13.0015 15.5333
3 20.8671 21.416 14.6194
3 22.3882 17.2471 17.8733
3 0.993664 20.9445 13.5431
3 24.9426 20.3273 13.7818
30
 Atoms. Timestep: 400
1 21.8427 2.00634 23.1096
1 22.315 1.61379 22.6895
1 2.10384 1.16653 2.11187
1 1.98033 0.817717 1.38468
1 7.10516 2.6444 1.72858
1 6.82512 1.95655 1.44164
1 9.68221 7.71667 0.557311
1 9.09414 7.51517 0.060352
